claim_id,claim_text,draft_location,claim_type,support_type,source_ids,confidence,owner,status,notes
C001,"Founder-led content is strongest when a company needs a single executive point of view; employee-generated content is strongest when buyers need role-level proof from people doing the work.","Short answer","comparison","sme;example-artifacts","src-002;src-003;src-008;src-010","medium","Sell In Public","supported","Editorial synthesis from public examples and SME operating guidance."
C002,"A hybrid model works when the founder sets direction and employees make the company's expertise inspectable through specific examples, workflows, and role-level judgment.","Short answer","operating-guidance","sme","src-010","medium","Sell In Public","supported","Sell In Public POV."
C003,"Employee advocacy on LinkedIn should be treated as an operating model rather than one native LinkedIn feature because LinkedIn began discontinuing the My Company tab, Employee Advocacy tab, and curator admin role in November 2024.","The Real Difference Is Source Of Judgment","platform-status","external-source","src-006","high","Sell In Public","supported","Current LinkedIn Help documentation."
C004,"The 2025 Edelman-LinkedIn report surveyed 1,934 global business executives and says 64% of hidden decision-makers and 63% of target decision-makers spend more than an hour per week consuming thought leadership.","Use Founder-Led Content When The Market Needs A Stance","statistic","external-source","src-007","high","Sell In Public","supported","Used for thought leadership buyer context only."
C005,"The same Edelman-LinkedIn report says 71% of hidden decision-makers view thought leadership as more effective than conventional marketing or sales materials at demonstrating potential value.","Use Founder-Led Content When The Market Needs A Stance","statistic","external-source","src-007","high","Sell In Public","supported","Used for buyer context only, not founder-content performance proof."
C006,"Dave Gerhardt's public LinkedIn post about brand and AI decision-making is a founder-led content example because it connects a company owner, market observation, and executive point of view.","Use Founder-Led Content When The Market Needs A Stance","example-analysis","public-example","src-008","medium","Sell In Public","supported","Public LinkedIn artifact, not performance evidence."
C007,"Chris Cunningham's public ClickUp post says 15 ClickUp employees were creating content on LinkedIn and five had more than 20,000 followers.","Use Employee Content When Buyers Need Role-Level Proof","example-fact","public-example","src-002","medium","Sell In Public","supported","Self-reported public LinkedIn artifact."
C008,"Heike Young's public Microsoft post describes an EGC program built around agency, tools, and strategy for employee creators.","Use Employee Content When Buyers Need Role-Level Proof","example-fact","public-example","src-003","medium","Sell In Public","supported","Self-reported public LinkedIn artifact."
C009,"LinkedIn's 2026 AI visibility guidance recommends building LinkedIn content around customer questions, employee participation, clear POV, consistent terminology, and readable standalone paragraphs.","Use Both When Direction And Proof Need To Travel Together","platform-guidance","external-source","src-001","medium","Sell In Public","supported","Platform/Semrush guidance, not neutral academic evidence."
C010,"Founder-led content and employee-generated content require different workflows, risk controls, and measurement standards.","Compare Founder Content, Employee Content, And Both","operating-guidance","sme","src-010","medium","Sell In Public","supported","Sell In Public POV."
C011,"LinkedIn Thought Leader Ads can promote member posts, including employee posts and posts from eligible connections, when the author grants permission.","Use Both When Direction And Proof Need To Travel Together","platform-status","external-source","src-005","high","Sell In Public","supported","Current LinkedIn Marketing Solutions Help documentation."
C012,"LinkedIn members can approve or decline requests to sponsor their profile posts as thought leader ads.","Use Both When Direction And Proof Need To Travel Together","platform-status","external-source","src-005","high","Sell In Public","supported","Current LinkedIn Help documentation."
C013,"Measurement should avoid treating impressions as the only success signal and should look at content usefulness, buyer questions, relevant replies, sales reuse, branded search, and AI visibility signals when those are available.","What To Measure In Each Model","measurement-guidance","sme;platform-guidance","src-001;src-007;src-010","medium","Sell In Public","supported","Sell In Public POV supported by adjacent source context."
