topic_id,pillar_id,target_asset,status,slug,parent_topic,primary_query,aeo_question,score,decision,coverage_role,source_readiness,next_action,owner,last_reviewed
topic-egc-definition,pillar-employee-generated-content,post,published-for-review,employee-generated-content-infrastructure,,what is employee-generated content,"What is employee-generated content, and how is it different from employee advocacy?",91,create_or_refresh_packet,hub,ready,collect owner revisions before producing post 3,Sell In Public editorial,2026-06-19
topic-egc-vs-advocacy,pillar-employee-generated-content,post,published-for-review,employee-generated-content-vs-employee-advocacy,topic-egc-definition,employee-generated content vs employee advocacy,How is employee-generated content different from employee advocacy?,86,create_or_refresh_packet,spoke,ready,monitor performance and preserve owner-approved language for future posts,Sell In Public editorial,2026-06-19
topic-egc-examples,pillar-employee-generated-content,post,planned,employee-generated-content-examples,topic-egc-definition,employee generated content examples,What are good examples of employee-generated content in B2B?,83,create_or_refresh_packet,spoke,partial,expand example source registry,Sell In Public editorial,2026-06-17
topic-should-every-employee-post,pillar-employee-generated-content,faq_or_section,mapped,,topic-egc-definition,should every employee post on linkedin,Should every employee post on LinkedIn?,58,map_as_h2_faq_or_section,faq,needs_sme,keep as FAQ until evidence improves,Sell In Public editorial,2026-06-17
topic-linkedin-content-infrastructure,pillar-linkedin-led-gtm,post,planned,linkedin-content-infrastructure-b2b-sales,,linkedin content strategy for b2b sales,How should B2B sales teams build LinkedIn content infrastructure?,80,create_or_refresh_packet,hub,needs_source_refresh,source discovery and query clustering,Sell In Public editorial,2026-06-17
topic-founder-vs-employee-content,pillar-linkedin-led-gtm,post_candidate,mapped,founder-content-vs-employee-content,topic-linkedin-content-infrastructure,founder content vs employee content,Should a B2B company prioritize founder content or employee content?,72,resolve_gap_first,spoke,needs_examples,find source-backed examples first,Sell In Public editorial,2026-06-17
topic-clay-lovable-gitlab,pillar-examples-case-studies,post,planned,clay-lovable-gitlab-public-content-loops,topic-egc-examples,b2b content examples clay lovable gitlab,"What can B2B teams learn from Clay, Lovable, and GitLab's public content loops?",81,create_or_refresh_packet,case-study,partial,confirm source quality and distinct lessons,Sell In Public editorial,2026-06-17
topic-turn-employee-expertise-into-posts,pillar-content-operations,post,planned,turn-employee-expertise-into-linkedin-posts,topic-egc-definition,turn employee expertise into linkedin posts,How do you turn employee expertise into useful LinkedIn posts?,84,create_or_refresh_packet,spoke,needs_sme,capture SME workflow notes,Sell In Public editorial,2026-06-17
topic-content-review-without-killing-voice,pillar-content-operations,section_or_post_candidate,mapped,review-employee-generated-content-without-killing-voice,topic-turn-employee-expertise-into-posts,review employee content without killing voice,How should teams review employee-generated content without making it generic?,68,resolve_gap_first,section,needs_sme,turn into checklist section first,Sell In Public editorial,2026-06-17
topic-measure-egc-beyond-impressions,pillar-measurement-learning,post,planned,measure-employee-generated-content-beyond-impressions,topic-egc-definition,measure employee-generated content beyond impressions,How should B2B teams measure employee-generated content beyond impressions?,82,create_or_refresh_packet,spoke,needs_metric_sources,source metrics and analytics examples,Sell In Public editorial,2026-06-17
