query_id,source_id,source_type,query,normalized_query,intent,funnel_stage,pillar_id,topic_id,surface,country,language,observed_at,volume,difficulty,evidence_use,notes
q-001,qi-001,manual_topic_seed,What is employee-generated content?,what is employee-generated content,definition,problem-aware,pillar-employee-generated-content,topic-egc-definition,manual,US,en,2026-06-17,,,discovery_only,Strong hub query for first packet.
q-002,qi-001,manual_topic_seed,How is employee-generated content different from employee advocacy?,employee-generated content vs employee advocacy,comparison,problem-aware,pillar-employee-generated-content,topic-egc-vs-advocacy,manual,US,en,2026-06-17,,,discovery_only,Standalone comparison candidate.
q-003,qi-001,manual_topic_seed,What are examples of employee-generated content?,employee-generated content examples,examples,problem-aware,pillar-employee-generated-content,topic-egc-examples,manual,US,en,2026-06-17,,,discovery_only,Needs example source expansion.
q-004,qi-001,manual_topic_seed,Should every employee post on LinkedIn?,should every employee post on linkedin,objection,problem-aware,pillar-employee-generated-content,topic-should-every-employee-post,manual,US,en,2026-06-17,,,discovery_only,Best handled as FAQ until stronger demand appears.
q-005,qi-001,manual_topic_seed,How do B2B teams turn employee expertise into LinkedIn posts?,turn employee expertise into linkedin posts,how_to,solution-aware,pillar-content-operations,topic-turn-employee-expertise-into-posts,manual,US,en,2026-06-17,,,discovery_only,High-value operations post.
q-006,qi-001,manual_topic_seed,How should teams measure employee-generated content beyond impressions?,measure employee-generated content beyond impressions,measurement,solution-aware,pillar-measurement-learning,topic-measure-egc-beyond-impressions,manual,US,en,2026-06-17,,,discovery_only,Measurement post candidate.
q-007,qi-001,manual_topic_seed,"What can B2B teams learn from Clay, Lovable, and GitLab's public content?","clay lovable gitlab public content loops",case_study,problem-aware,pillar-examples-case-studies,topic-clay-lovable-gitlab,manual,US,en,2026-06-17,,,discovery_only,Case-study candidate.
q-008,qi-001,manual_topic_seed,How do you review employee-generated content without making it generic?,review employee content without killing voice,how_to,solution-aware,pillar-content-operations,topic-content-review-without-killing-voice,manual,US,en,2026-06-17,,,discovery_only,Needs SME notes before standalone post.
q-009,qi-001,manual_topic_seed,What is LinkedIn content infrastructure for B2B sales teams?,linkedin content infrastructure for b2b sales teams,how_to,solution-aware,pillar-linkedin-led-gtm,topic-linkedin-content-infrastructure,manual,US,en,2026-06-17,,,discovery_only,High business relevance.
q-010,qi-001,manual_topic_seed,How do answer engines decide which B2B content to cite?,answer engine citation factors for b2b content,aeo_strategy,problem-aware,pillar-measurement-learning,,manual,US,en,2026-06-17,,,discovery_only,Needs authoritative AEO research before packet.
