captured_at,topic,intent,source_count,max_score,evidence_use,recommended_next_action
2026-06-20T17:09:07.869Z,what is employee-generated content,definition,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,measure employee-generated content beyond impressions,measurement,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,employee-generated content vs employee advocacy,comparison,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,How do you turn employee expertise into useful LinkedIn posts?,how_to,11,50,discovery_only,route_to_topic_cartographer_and_source_registry_before_packet
2026-06-20T17:09:07.869Z,What are good examples of employee-generated content in B2B?,examples,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,"What can B2B teams learn from Clay, Lovable, and GitLab's public content loops?",case_study,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,How should B2B sales teams build LinkedIn content infrastructure?,how_to,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,sales outreach tools that integrate with your crm our favorite picks for 2026,vendor_evaluation,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,future of ai in customer relationship management what s coming next,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,real ai crm use cases driving revenue growth in 2025,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,5 best ai crms for real estate agents the 2026 roundup,vendor_evaluation,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,what is an ai agent a plain-english guide,definition,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,10 seo trends i ve seen firsthand in 2026 with data,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,why category entry points belong in every ai search strategy,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,how to prove incremental marketing impact with linkedin s new tools,how_to,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,automated seo what it is and how it works in 2026,other,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,How should teams review employee-generated content without making it generic?,how_to,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,Should every employee post on LinkedIn?,objection,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,9 ways to improve seo rankings and traffic,measurement,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,a new guide how to prove the value of b2b marketing,how_to,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,the ai perception-reality gap,other,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,How do answer engines decide which B2B content to cite?,aeo_strategy,7,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,introducing search generative ai performance reports in search console,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,a new resource for optimizing for generative ai in google search,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,11 ways to automate seo with agent a,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,how i use my ai marketing assistant after 200 hours,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,we analyzed 137k sites 97 of llms txt files never get read,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,how to level-up from seo tactician to search visibility leader,how_to,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,9 vibe coding examples ai apps you can use right now to grow your website,examples,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,what is ai sentiment analysis a marketer s guide,definition,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,bot traffic now exceeds traffic from human users,measurement,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,12 seo writing tips to earn visibility 2026,measurement,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,how rtcamp closed the ai perception gap costing them enterprise deals,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,why 62 of ai citations don t lead to brand mentions study,measurement,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,how to decide which ai search prompts to track,how_to,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,google s ai search optimization guide what to do next,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,how to get indexed by chatgpt 2026,how_to,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,faqs for aeo how to structure answers that rank in answer engines,how_to,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,schema markup for aeo how to implement it to boost answer engine visibility in 2026,how_to,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,keyword research for aeo a guide for winning answer engine traffic in 2026,measurement,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,on-page content formats answer engines actually favor new research,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,the multiplier effect how linkedin ads boosts search content and pipeline,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,fear of messing up the hidden emotion driving b2b decisions,other,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,the principles of buyability why strong deals stall and what separates the vendors who get chosen,vendor_evaluation,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,how to grow your ai search visibility with linkedin content,how_to,9,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,how to rank in ai search results expert best practices,how_to,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,6 best ai prospecting tools our picks for 2026,vendor_evaluation,10,50,discovery_only,monitor_until_stronger_signal
2026-06-20T17:09:07.869Z,The B2B Navigation System Is Broken: Why AI Is Forcing a Shift From Visibility to Buyability,measurement,5,50,discovery_only,monitor_until_stronger_signal
